frame_id,class_name,confidence,x1,y1,x2,y2
0,Car,0.95,403,430,498,506
0,Car,0.88,1651,679,1844,790
0,Car,0.83,543,499,637,577
0,Car,0.80,1422,638,1575,724
0,Car,0.70,1286,514,1363,587
0,Car,0.69,1534,866,1834,1054
0,Car,0.49,296,553,476,652
0,Car,0.44,525,366,586,414
0,Motorcycle,0.32,1272,572,1342,657
0,Motorcycle,0.31,1204,431,1266,485
0,Motorcycle,0.25,1698,615,1765,675
0,Motorcycle,0.22,0,679,188,989
0,Car,0.16,633,196,754,225
1,Car,0.93,397,437,494,509
1,Car,0.84,1414,630,1559,718
1,Car,0.80,1637,660,1832,782
1,Car,0.73,1519,852,1813,1037
1,Car,0.64,541,503,633,580
1,Car,0.57,1286,511,1359,585
1,Motorcycle,0.50,1,705,183,1013
1,Car,0.41,1222,563,1339,652
1,Motorcycle,0.40,524,362,582,415
1,Motorcycle,0.20,1205,427,1264,483
1,Car,0.18,765,273,891,350
1,Motorcycle,0.16,633,327,688,385
1,Car,0.16,635,196,749,224
2,Car,0.96,391,436,484,514
2,Car,0.87,1499,842,1773,1013
2,Car,0.86,1634,660,1813,774
2,Car,0.70,1414,628,1547,714
2,Car,0.65,542,507,634,586
2,Car,0.63,1,830,161,1041
2,Car,0.61,1220,518,1330,648
2,Car,0.50,299,570,437,669
2,Motorcycle,0.50,520,364,581,418
2,Motorcycle,0.48,1683,599,1751,667
2,Motorcycle,0.36,1277,502,1343,581
2,Motorcycle,0.23,630,333,681,387
2,Car,0.21,518,197,601,224
2,Car,0.17,1201,434,1263,479
3,Car,0.91,1617,649,1807,764
3,Car,0.90,377,444,480,515
3,Car,0.87,1483,819,1750,995
3,Car,0.77,1401,623,1541,704
3,Car,0.76,1,845,146,1069
3,Car,0.67,517,370,577,417
3,Car,0.59,1673,597,1752,660
3,Motorcycle,0.49,1218,522,1328,645
3,Motorcycle,0.39,1285,503,1339,578
3,Car,0.37,296,575,432,676
3,Motorcycle,0.32,628,336,681,389
3,Car,0.24,1195,432,1263,480
3,Car,0.18,762,272,902,342
3,Car,0.16,499,195,607,225
4,Car,0.95,1614,638,1784,758
4,Car,0.93,1463,810,1730,975
4,Car,0.86,372,448,473,520
4,Car,0.76,1394,612,1535,705
4,Car,0.69,513,370,573,418
4,Motorcycle,0.50,1663,596,1734,656
4,Motorcycle,0.38,1217,505,1331,640
4,Car,0.36,1194,434,1262,478
4,Motorcycle,0.31,624,341,675,389
4,Motorcycle,0.27,535,516,628,599
4,Motorcycle,0.26,1264,495,1334,575
4,Car,0.16,505,196,599,224
4,Car,0.15,763,274,900,334
5,Car,0.92,367,450,466,526
5,Car,0.91,1457,801,1701,958
5,Car,0.88,1380,608,1515,693
5,Car,0.86,1599,639,1770,750
5,Car,0.62,512,372,573,420
5,Car,0.58,1658,596,1730,654
5,Car,0.51,1192,435,1261,478
5,Car,0.40,279,584,424,693
5,Motorcycle,0.39,531,517,623,601
5,Motorcycle,0.25,625,333,676,390
5,Motorcycle,0.22,1258,498,1327,571
5,Car,0.22,760,203,896,231
5,Motorcycle,0.18,1223,497,1329,617
6,Car,0.92,360,455,458,534
6,Car,0.85,1439,782,1677,939
6,Car,0.83,1378,604,1510,688
6,Car,0.72,1590,640,1756,741
6,Car,0.66,509,372,567,423
6,Car,0.61,530,521,624,610
6,Car,0.41,280,589,418,701
6,Motorcycle,0.39,1651,586,1722,651
6,Car,0.34,1192,432,1258,476
6,Motorcycle,0.31,622,335,671,393
6,Car,0.31,762,202,898,232
6,Car,0.18,759,269,902,330
6,Car,0.15,522,196,598,223
7,Car,0.90,353,452,454,536
7,Car,0.89,1425,770,1659,924
7,Car,0.86,1378,603,1504,676
7,Car,0.75,1583,636,1741,731
7,Car,0.72,505,370,566,426
7,Car,0.68,528,528,624,615
7,Car,0.66,265,595,409,711
7,Motorcycle,0.44,1645,579,1719,642
7,Motorcycle,0.37,618,335,671,394
7,Motorcycle,0.28,1211,514,1261,624
7,Car,0.23,758,202,899,231
7,Car,0.21,1189,430,1256,475
7,Car,0.17,522,197,598,224
8,Car,0.94,342,457,443,540
8,Car,0.88,1417,761,1639,908
8,Car,0.83,1367,595,1494,673
8,Car,0.69,503,370,563,428
8,Car,0.66,1571,629,1734,726
8,Car,0.66,254,600,403,722
8,Car,0.56,519,532,625,624
8,Car,0.42,1638,579,1732,637
8,Motorcycle,0.31,1208,496,1261,622
8,Motorcycle,0.31,622,335,666,391
